0	0.25
0.1	0.29531
0.2	0.345343
0.3	0.40482
0.4	0.478465
0.5	0.571
0.6	0.682413
0.7	0.793756
0.8	0.881842
0.9	0.934879
1	0.952468
1.1	0.934708
1.2	0.881696
1.3	0.793999
1.4	0.683021
1.5	0.571
1.6	0.476325
1.7	0.400102
1.8	0.339117
1.9	0.290154
2	0.25
2.1	0.215891
2.2	0.186869
2.3	0.162427
2.4	0.142059
2.5	0.125256
2.6	0.111514
2.7	0.100324
2.8	0.0911792
2.9	0.0835736
3	0.077
3.1	0.071031
3.2	0.0655571
3.3	0.0605485
3.4	0.0559751
3.5	0.0518071
3.6	0.0480145
3.7	0.0445675
3.8	0.041436
3.9	0.0385901
4	0.036
4.1	0.0336381
4.2	0.0314865
4.3	0.0295299
4.4	0.027753
4.5	0.0261402
4.6	0.0246762
4.7	0.0233455
4.8	0.0221329
4.9	0.0210229
5	0.02
5.1	0.0190508
5.2	0.0181688
5.3	0.0173498
5.4	0.016589
5.5	0.0158822
5.6	0.0152248
5.7	0.0146124
5.8	0.0140404
5.9	0.0135044
6	0.013
6.1	0.0125229
6.2	0.0120701
6.3	0.011639
6.4	0.0112269
6.5	0.0108309
6.6	0.0104485
6.7	0.0100769
6.8	0.00971343
6.9	0.00935536
7	0.009
